idat	Sample_accession	Project_accession	Cell_Type	Cell_Type_plot	Sex	Cell_Line	Classifier	Timecourse	Test	EPIC_version	Array	Slide	Basename	Cell_Type_Classifier	Class_rf
205038940051_R03C01	B6-cell-curve-5x10^5-PFA	BIH	iPSC	iPSC	Male	BIHi005-A	Yes	No	No	v1	R03C01	2.05039e+11	/mnt/sda1/data/EPIC_data/EPIC_data_idats_bak/2021.12.09 850K Analyse/205038940051_R03C01	iPSC	iPSC
204860510034_R08C01	BIHi001-A-NSC-32	BIH	iPSC NSC d7	iPSC derived Ectoderm	Male	BIHi001-A	Yes	No	No	v1	R08C01	2.04861e+11	/mnt/sda1/data/EPIC_data/EPIC_data_idats_bak/2021.01.27 850K Analyse/204860510034_R08C01	iPSC derived Ectoderm	Ectoderm
203821710015_R05C01	BIHi001-B_ D146	BIH	iPSC	iPSC	Male	BIHi001-B	Yes	No	No	v1	R05C01	2.03822e+11	/mnt/sda1/data/EPIC_data/EPIC_data_idats_bak/2020.01.17 850K Analyse/203821710015_R05C01	iPSC	iPSC
206486300071_R05C01	BIHi001-B_NSC_B	BIH	iPSC NSC d21	iPSC derived NSC Day 21	Male	BIHi001-B	Yes	No	No	v1	R05C01	2.06486e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.02.01_850K/206486300071_R05C01	iPSC derived NSC Day 21	NSC
207705780010_R08C01	BIHi001-B-1_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-1	Yes	No	No	v1	R08C01	2.07706e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.01.19_850K/207705780010/207705780010_R08C01	iPSC derived Ectoderm	Ectoderm
207717880147_R03C01	BIHi001-B-10_milt_mesoderm	BIH	Mesoderm	iPSC derived Mesoderm	Male	BIHi001-B-10	Yes	No	No	v1	R03C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880147_R03C01	iPSC derived Mesoderm	Mesoderm
207717880147_R02C01	BIHi001-B-10_stemcell_mesoderm	BIH	Mesoderm	iPSC derived Mesoderm	Male	BIHi001-B-10	Yes	No	No	v1	R02C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880147_R02C01	iPSC derived Mesoderm	Mesoderm
207717880147_R04C01	BIHi001-B-10-stemcell_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-10	Yes	No	No	v1	R04C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880147_R04C01	iPSC derived Ectoderm	Ectoderm
207705780010_R04C01	BIHi001-B-2_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-2	Yes	No	No	v1	R04C01	2.07706e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.01.19_850K/207705780010/207705780010_R04C01	iPSC derived Ectoderm	Ectoderm
207705780010_R03C01	BIHi001-B-2_endoderm	BIH	Endoderm	iPSC derived Endoderm	Male	BIHi001-B-2	Yes	No	No	v1	R03C01	2.07706e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.01.19_850K/207705780010/207705780010_R03C01	iPSC derived Endoderm	Endoderm
207705780010_R01C01	BIHi001-B-3_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-3	Yes	No	No	v1	R01C01	2.07706e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.01.19_850K/207705780010/207705780010_R01C01	iPSC derived Ectoderm	Ectoderm
207717880156_R07C01	BIHi001-B-4_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-4	Yes	No	No	v1	R07C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880156_R07C01	iPSC derived Ectoderm	Ectoderm
207717880156_R06C01	BIHi001-B-4_endoderm	BIH	Endoderm	iPSC derived Endoderm	Male	BIHi001-B-4	Yes	No	No	v1	R06C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880156_R06C01	iPSC derived Endoderm	Endoderm
207717880156_R05C01	BIHi001-B-5_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-5	Yes	No	No	v1	R05C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880156_R05C01	iPSC derived Ectoderm	Ectoderm
207717880156_R03C01	BIHi001-B-6_ectoderm	BIH	Ectoderm	iPSC derived Ectoderm	Male	BIHi001-B-6	Yes	No	No	v1	R03C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880156_R03C01	iPSC derived Ectoderm	Ectoderm
207717880156_R02C01	BIHi001-B-6_mesoderm	BIH	Mesoderm	iPSC derived Mesoderm	Male	BIHi001-B-6	Yes	No	No	v1	R02C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880156_R02C01	iPSC derived Mesoderm	Mesoderm
207717880147_R06C01	BIHi001-B-7_endoderm	BIH	Endoderm	iPSC derived Endoderm	Male	BIHi001-B-7	Yes	No	No	v1	R06C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880147_R06C01	iPSC derived Endoderm	Endoderm
207717880147_R07C01	BIHi001-B-8_endoderm	BIH	Endoderm	iPSC derived Endoderm	Male	BIHi001-B-8	Yes	No	No	v1	R07C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880147_R07C01	iPSC derived Endoderm	Endoderm
206486300071_R06C01	BIHi001-B-NSC-2	BIH	iPSC NSC d7	iPSC derived Ectoderm	Male	BIHi001-B	Yes	No	No	v1	R06C01	2.06486e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.02.01_850K/206486300071_R06C01	iPSC derived Ectoderm	Ectoderm
206486300071_R07C01	BIHi001-B-NSC-4	BIH	iPSC NSC d7	iPSC derived Ectoderm	Male	BIHi001-B	Yes	No	No	v1	R07C01	2.06486e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.02.01_850K/206486300071_R07C01	iPSC derived Ectoderm	Ectoderm
206486300071_R08C01	BIHi001-B-NSC-6	BIH	iPSC NSC d7	iPSC derived Ectoderm	Male	BIHi001-B	Yes	No	No	v1	R08C01	2.06486e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.02.01_850K/206486300071_R08C01	iPSC derived Ectoderm	Ectoderm
205016910017_R08C01	BIHi004-A-NSC-4	BIH	iPSC NSC d7	iPSC derived Ectoderm	Female	BIHi004-A	Yes	No	No	v1	R08C01	2.05017e+11	/mnt/sda1/data/EPIC_data/EPIC_data_idats_bak/2021.02.10 850K Analyse/205016910017_R08C01	iPSC derived Ectoderm	Ectoderm
206648960111_R07C01	BIHi005-A 2 x10^6 iPSCs	BIH	iPSC	iPSC	Male	BIHi005-A	Yes	No	No	v1	R07C01	2.06649e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.05.04_850K/206648960111_R07C01	iPSC	iPSC
207717880120_R08C01	BIHi005-A_PEC_d5_EC006	BIH	Mesoderm	iPSC derived Mesoderm	Male	BIHi005-A	Yes	No	No	v1	R08C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.01.19_850K/207717880120/207717880120_R08C01	iPSC derived Mesoderm	Mesoderm
204860510034_R06C01	BIHi005-A-24-NSC-37	BIH	iPSC NSC d7	iPSC derived Ectoderm	Male	BIHi005-A-24	Yes	No	No	v1	R06C01	2.04861e+11	/mnt/sda1/data/EPIC_data/EPIC_data_idats_bak/2021.01.27 850K Analyse/204860510034_R06C01	iPSC derived Ectoderm	Ectoderm
207717880131_R01C01	BIHi005-A-92_stemcell_mesoderm	BIH	Mesoderm	iPSC derived Mesoderm	Male	BIHi005-A-92	Yes	No	No	v1	R01C01	2.07718e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2023.12.01_850K/207717880131_R01C01	iPSC derived Mesoderm	Mesoderm
